SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),425 S 16th St,Newark,NJ,7103,319000,5,2,Newark,,1999,,83,,,Active,,,http://www.redfin.com/NJ/Newark/425-S-16th-St-07103/home/36235390,NJMLS,20051062,N,Y,40.7414465,-74.2063077
MLS Listing,,Multi-Family (2-4 Unit),94-96 Lyons Ave,Newark,NJ,7112,469777,8,3,Newark,,4948,,83,,,Active,,,http://www.redfin.com/NJ/Newark/94-Lyons-Ave-07112/home/36288549,NJMLS,20051037,N,Y,40.7075817,-74.2098542
MLS Listing,,Multi-Family (2-4 Unit),224 N 5TH St #2,Newark City,NJ,07107-2225,275000,6,4,Newark City,19998,1742,1900,83,14,,Active,,,http://www.redfin.com/NJ/Newark/224-N-5th-St-07107/unit-2/home/173924732,GSMLS,3682686,N,Y,40.7556934,-74.1877799
MLS Listing,,Multi-Family (2-4 Unit),107 Ferguson St,Newark,NJ,7105,474900,5,3,Newark,,1311,,83,,,Active,,,http://www.redfin.com/NJ/Newark/107-Ferguson-St-07105/home/36266774,NJMLS,20050970,N,Y,40.7288783,-74.1533448
MLS Listing,,Condo/Co-op,201 Dey St #108,Harrison,NJ,7029,460000,2,2,Harrison,,,,83,,,Active,,,http://www.redfin.com/NJ/Harrison/201-Dey-St-07029/unit-108/home/36430622,NJMLS,20050955,N,Y,40.7438508,-74.1640441
MLS Listing,,Multi-Family (2-4 Unit),224 N 5th St,Newark,NJ,7107,275000,6,4,Newark,,1882,,84,,,Active,,,http://www.redfin.com/NJ/Newark/224-N-5th-St-07107/home/36261279,NJMLS,20050918,N,Y,40.7556934,-74.1877799
MLS Listing,,Single Family Residential,756-758 Degraw Ave,Newark,NJ,7104,650000,8,8,Newark,,5401,,85,,,Active,,,http://www.redfin.com/NJ/Newark/756-Degraw-Ave-07104/home/36248688,NJMLS,20050791,N,Y,40.7780199,-74.171267
MLS Listing,,Multi-Family (2-4 Unit),37 S 8th St,Newark,NJ,7107,475000,0,,Newark,2558,2500,2006,85,186,,Active,,,http://www.redfin.com/NJ/Newark/37-S-8th-St-07107/home/36258984,CJMLS,2109646,N,Y,40.7493312,-74.1945183
MLS Listing,,Condo/Co-op,15-19 Tichenor Ln #407,Newark,NJ,7114,269900,3,2,Newark,1260,,,86,214,,Active,,,http://www.redfin.com/NJ/Newark/15-Tichenor-St-07102/unit-407/home/173899105,NJMLS,20050556,N,Y,40.7246827,-74.1776287
MLS Listing,,Condo/Co-op,15-19 TICHENOR Ln #407,Newark City,NJ,07114-2514,269900,3,2,Ironbound,,1306,2009,86,,275,Active,,,http://www.redfin.com/NJ/Newark-City/15-19-TICHENOR-LN-07114/unit-407/home/174003791,GSMLS,3681992,N,Y,40.722227,-74.178228
MLS Listing,,Townhouse,164 FAIRMOUNT Ave,Newark City,NJ,07103-2433,160000,3,1.5,Central,,,1970,88,,,Active,,,http://www.redfin.com/NJ/Newark/164-Fairmount-Ave-07103/unit-1/home/36233894,GSMLS,3681867,N,Y,40.7416359,-74.1936083
